alpha,beta,mu_lat,var_lat,c,d,k_1,k_2,stb_1,stb_2,mu_1,mu_2,p_ber
0.00259161,0.953326,4.24647,2.73744,2.81692,2,0.206478,10,1,1,6.22169e-05,7.54463e-06,0.0393518
0.00207466,0.953326,3.40884,2.92978,2.81692,2,0.267416,10,1,1,6.22169e-05,7.54463e-06,0.0393518
0.000956198,0.953326,3.40884,2.85132,2.65677,2,0.303121,10,1,1,6.22169e-05,7.54463e-06,0.0454344
0.000956198,0.953326,3.79311,3.33802,3.48118,2,0.275851,10,1,1,6.22169e-05,7.54463e-06,0.0454344
0.000956198,0.953326,2.7102,3.4712,3.84845,2,0.192489,10,1,1,6.22169e-05,7.54463e-06,0.0454344
0.0014509,0.953326,2.7102,3.36964,3.78591,2,0.18296,10,1,1,6.22169e-05,7.54463e-06,0.0454344
0.00109353,0.953326,3.4285,3.39063,3.78591,2,0.181438,10,1,1,6.22169e-05,7.54463e-06,0.0380077
0.000787941,0.953326,3.4285,3.22957,3.47271,2,0.174038,10,1,1,6.22169e-05,7.54463e-06,0.0416598
0.000787941,0.953326,3.4285,3.21539,3.47271,2,0.131512,10,1,1,6.22169e-05,7.54463e-06,0.0416598
0.000787941,0.953326,3.17099,3.29558,3.23119,2,0.131512,10,1,1,6.22169e-05,7.61448e-06,0.0416598
0.000787941,0.953326,3.17099,2.77962,3.50748,2,0.0810538,10,1,1,6.22169e-05,7.61448e-06,0.0416598
0.000787941,0.953326,3.17099,2.77962,3.81622,2,0.15874,10,1,1,6.22169e-05,7.61448e-06,0.0416598
0.00213676,0.953326,3.17099,2.77962,3.81622,2,0.172771,10,1,1,6.22169e-05,7.61448e-06,0.0383431
0.00223721,0.953326,4.08548,2.86959,3.81622,2,0.143884,10,1,1,6.22169e-05,7.61448e-06,0.0383431
0.00180549,0.953326,3.8937,2.86959,3.32813,2,0.228891,10,1,1,6.22169e-05,7.61448e-06,0.0383431
0.00202677,0.855836,3.51101,2.87827,3.55664,2,0.228891,10,1,1,6.22169e-05,9.15381e-06,0.0383431
0.00173891,1.03608,3.51101,2.89146,3.51679,2,0.241619,10,1,1,6.22169e-05,8.68666e-06,0.0383431
0.00100019,1.03608,3.51101,2.84572,2.59923,2,0.178342,10,1,1,6.06638e-05,8.68666e-06,0.0383431
0.00100019,1.03608,3.51101,2.84572,2.59923,2,0.140684,10,1,1,6.06638e-05,9.63533e-06,0.0383431
0.00100019,1.03608,3.51101,2.8698,2.57271,2,0.210296,10,1,1,6.06638e-05,9.63533e-06,0.035112
0.00100019,1.03608,3.51101,2.81413,3.2256,2,0.199305,10,1,1,6.06638e-05,6.79661e-06,0.035885
0.00100019,0.945047,3.3107,2.43719,3.41969,2,0.207173,10,1,1,6.06638e-05,6.79661e-06,0.0377143
0.00100019,0.945047,3.55241,2.52598,2.92122,2,0.114738,10,1,1,6.06638e-05,6.79661e-06,0.0377143
0.000686631,0.945047,3.55241,2.47011,2.92122,2,0.0825828,10,1,1,6.06638e-05,6.79661e-06,0.0377143
0.000686631,0.945047,5.04979,2.47011,3.24647,2,0.0625601,10,1,1,6.50828e-05,6.79661e-06,0.0370135
0.000973927,0.945047,5.55393,2.45881,2.63551,2,0.0625601,10,1,1,6.50828e-05,6.79661e-06,0.0370135
0.000962398,0.598126,5.55393,2.45881,2.41841,2,0.137043,10,1,1,6.50828e-05,7.5187e-06,0.0339716
0.00195822,1.19929,4.52303,2.41231,2.62242,2,0.201926,10,1,1,6.50828e-05,7.5187e-06,0.0339716
0.00122468,1.19929,4.52303,2.51318,2.62242,2,0.245192,10,1,1,6.50828e-05,7.5187e-06,0.0339716
0.000148739,1.21986,4.52303,2.42148,3.31215,2,0.191617,10,1,1,6.50828e-05,7.5187e-06,0.0339716
0.000148739,1.21986,4.41516,2.53146,3.31215,2,0.191073,10,1,1,6.50828e-05,7.38167e-06,0.0339716
0.000148739,1.21986,4.41516,2.53146,3.19156,2,0.191073,10,1,1,6.50828e-05,8.04293e-06,0.0321835
0.00139916,1.21986,5.23032,2.34514,2.20477,2,0.135513,10,1,1,6.50828e-05,8.04293e-06,0.0321835
0.00139916,1.43908,5.23032,2.04888,2.20477,2,0.126307,10,1,1,7.92316e-05,9.52783e-06,0.032829
0.00139916,1.43908,5.23032,2.04888,2.20477,2,0.126307,10,1,1,4.94203e-05,8.58375e-06,0.0296713
0.00046344,1.43908,5.23032,2.01194,1.97567,2,0.158065,10,1,1,4.94203e-05,7.99412e-06,0.0394809
0.00046344,1.19479,5.23032,2.11293,2.90522,2,0.206952,10,1,1,6.47418e-05,7.99412e-06,0.039834
0.00046344,1.19479,4.27991,1.97967,3.59987,2,0.195586,10,1,1,5.59643e-05,7.99412e-06,0.0386326
0.000508202,1.11161,5.88712,1.97967,3.66934,2,0.0717353,10,1,1,5.59643e-05,7.51798e-06,0.0386326
0.000161951,0.974058,5.88712,1.95998,2.10082,2,0.0854582,10,1,1,5.59643e-05,7.51798e-06,0.0386326
0.000161951,0.974058,5.88712,2.02509,2.10082,2,0.108067,10,1,1,5.59643e-05,7.51798e-06,0.0450686
0.000161951,0.974058,6.06165,2.07849,2.10082,2,0.0620032,10,1,1,5.59643e-05,8.12262e-06,0.0450686
0.000161951,0.974058,6.06165,1.96768,2.10082,2,0.0490912,10,1,1,5.59643e-05,8.12262e-06,0.0450686
0.000161951,0.974058,6.06165,1.98542,2.10082,2,0.150482,10,1,1,5.59643e-05,9.01028e-06,0.0450686
0.000190861,0.974058,4.67987,1.93178,2.68069,2,0.12834,10,1,1,5.59643e-05,9.01028e-06,0.0479706
0.000190861,0.974058,4.67987,1.93178,2.68069,2,0.108251,10,1,1,5.59643e-05,9.01028e-06,0.0462578
0.000190861,0.974058,4.67987,1.99773,3.67864,2,0.108251,10,1,1,5.59643e-05,9.01028e-06,0.0462578
0.000190861,0.974058,4.08077,1.99773,3.86269,2,0.173974,10,1,1,5.59643e-05,6.36649e-06,0.0462578
0.000190861,1.08662,4.08077,2.25285,3.86269,2,0.176367,10,1,1,5.59643e-05,6.41718e-06,0.0462578
6.29759e-05,1.08662,4.08077,2.39157,3.75191,2,0.164948,10,1,1,5.59643e-05,7.90413e-06,0.0462578
0.00014036,1.08662,4.08077,2.33098,2.91421,2,0.108469,10,1,1,5.59643e-05,8.14287e-06,0.0462578
0.00014036,1.08662,4.08077,2.46265,3.09939,2,0.0919883,10,1,1,5.59643e-05,1.02634e-05,0.0462578
0.00014036,1.08662,4.58283,2.55022,3.01884,2,0.124377,10,1,1,5.59643e-05,1.0402e-05,0.0462578
0.00014036,1.08662,4.58283,2.67909,2.82529,2,0.137241,10,1,1,5.59643e-05,1.0402e-05,0.0462578
1.16489e-05,1.08662,4.65155,2.65965,3.20421,2,0.137554,10,1,1,5.59643e-05,1.00405e-05,0.0462578
1.16489e-05,1.08662,4.65155,2.46663,4.03077,2,0.215387,10,1,1,5.59643e-05,1.00405e-05,0.0462578
1.16489e-05,1.08662,4.65155,2.68429,2.43816,2,0.245193,10,1,1,5.59643e-05,6.44406e-06,0.0462578
1.16489e-05,1.08662,4.65155,2.68429,2.43816,2,0.270189,10,1,1,5.59643e-05,6.44406e-06,0.0462578
1.16489e-05,1.08662,4.65155,2.68429,2.74076,2,0.270189,10,1,1,6.03156e-05,8.15862e-06,0.0462578
0.000746039,0.800965,4.65155,2.61139,3.07783,2,0.288823,10,1,1,6.03156e-05,8.15862e-06,0.0462578
0.000343227,0.800965,4.65155,2.34964,3.07783,2,0.246152,10,1,1,7.15667e-05,8.15862e-06,0.0527295
0.000343227,0.800965,4.65155,2.56031,4.17313,2,0.246152,10,1,1,7.15667e-05,8.15862e-06,0.0516898
0.000772856,0.800965,4.65155,2.55558,4.17313,2,0.241172,10,1,1,7.15667e-05,6.65855e-06,0.0516898
0.000772856,0.800965,4.54707,2.34321,4.01973,2,0.18534,10,1,1,7.15667e-05,7.08211e-06,0.0516898
0.000772856,0.877274,4.75533,2.7115,4.01973,2,0.227555,10,1,1,7.15667e-05,7.08211e-06,0.0513805
0.000647622,0.877274,4.61475,2.79107,3.58708,2,0.235805,10,1,1,7.15667e-05,7.08211e-06,0.0513805
0.000647622,0.877274,3.83019,2.76178,2.68393,2,0.267796,10,1,1,6.77429e-05,7.08211e-06,0.0463177
0.000647622,0.998315,3.83019,3.08933,2.68393,2,0.280821,10,1,1,6.77429e-05,5.77347e-06,0.0436741
0.000647622,0.998315,3.74685,3.2616,4.02151,2,0.308705,10,1,1,6.77429e-05,5.77347e-06,0.0436741
0.0022213,0.998315,3.42155,3.20178,4.02151,2,0.308705,10,1,1,6.77429e-05,1.03555e-05,0.0436741
0.0022213,0.998315,3.42155,3.28384,4.02151,2,0.309589,10,1,1,6.77429e-05,9.51246e-06,0.0436741
0.00209228,0.998315,3.42155,3.15345,5.96837,2,0.323553,10,1,1,6.77429e-05,9.51246e-06,0.0404753
0.00295957,0.883927,3.42155,3.00871,6.93218,2,0.302866,10,1,1,6.77429e-05,7.08581e-06,0.0404753
0.002775,0.883927,3.46993,3.23105,6.93218,2,0.264493,10,1,1,6.77429e-05,7.08581e-06,0.0480606
0.00254242,0.883927,3.29744,3.36161,6.25362,2,0.301295,10,1,1,6.77429e-05,8.68624e-06,0.0480606
0.00378465,0.883927,3.29744,3.36161,6.21964,2,0.312777,10,1,1,6.94477e-05,8.68624e-06,0.0479364
0.00365102,0.837381,2.97663,3.22503,6.25978,2,0.272102,10,1,1,6.94477e-05,8.68624e-06,0.0479364
0.00393324,0.837381,3.94171,3.09284,5.30807,2,0.313844,10,1,1,6.5008e-05,8.68624e-06,0.0479364
0.00393324,0.837381,3.94171,2.99723,4.94243,2,0.305629,10,1,1,6.5008e-05,9.14551e-06,0.0479364
0.00321155,0.858836,3.94171,2.90906,5.1733,2,0.305629,10,1,1,6.5008e-05,9.14551e-06,0.0452232
0.00321155,0.858836,3.94171,2.80705,5.64619,2,0.369521,10,1,1,6.5008e-05,9.14551e-06,0.0452232
0.0024359,0.858836,3.5057,2.80705,4.16165,2,0.315297,10,1,1,6.5008e-05,7.33236e-06,0.0452232
0.00184108,0.858836,3.5057,2.77716,4.26138,2,0.254578,10,1,1,6.28326e-05,7.33236e-06,0.0452232
0.00184108,0.858836,3.39761,3.03599,3.42422,2,0.318602,10,1,1,6.28326e-05,7.33236e-06,0.0385713
0.00193471,0.858836,4.28582,3.49672,3.59611,2,0.297467,10,1,1,6.28326e-05,8.95152e-06,0.0385713
0.00193471,0.858836,4.28582,3.49672,2.81984,2,0.345113,10,1,1,6.28326e-05,9.71283e-06,0.0385713
0.00193471,1.26986,4.28582,3.14834,2.81984,2,0.345113,10,1,1,6.28326e-05,9.71283e-06,0.0375098
0.00187641,0.964132,4.28582,3.32667,2.81984,2,0.369333,10,1,1,6.28326e-05,9.71283e-06,0.0375098
0.00187641,0.964132,4.28582,3.31342,2.53978,2,0.363313,10,1,1,6.28326e-05,5.07597e-06,0.0375098
0.00128531,1.62087,4.28582,3.51028,2.53978,2,0.405881,10,1,1,6.28326e-05,5.07597e-06,0.0375098
0.00128531,1.62087,2.84103,3.51028,2.53978,2,0.441794,10,1,1,6.28326e-05,5.07597e-06,0.0375098
0.00128531,1.62087,2.84103,3.85975,2.68418,2,0.515341,10,1,1,6.28326e-05,5.07597e-06,0.0375098
0.00128531,1.62087,2.84103,3.85202,3.22537,2,0.49602,10,1,1,6.28326e-05,5.1508e-06,0.0375098
